source_id,name,source_class,category,country,language,ingest_type,feed_or_endpoint,refresh,priority,enabled,translation_required,endpoint_status,notes
SRC016,Elegoo News,P1,Vendor / FDM Resin,CN,EN,Web,https://www.elegoo.com/blogs/news,1d,B,True,False,WEB,Consumer/prosumer HW; filtrovat kampaně.
SRC017,Anycubic Blog,P1,Vendor / FDM Resin,CN,EN,Web,https://www.anycubic.com/blogs/news,1d,B,True,False,WEB,Consumer/prosumer HW a firmware.
SRC018,E3D,P1,Components / Extrusion,UK,EN,Web,https://e3d-online.com/blogs/news,1d,B,True,False,WEB,"Toolheads, hotends, extrusion technology."
SRC019,Polymaker,P1,Materials / Polymers,CN,EN,Web,https://polymaker.com/,1d,B,True,False,WEB,Materiály; preferovat technické novinky před marketingem.
SRC020,EOS,P1,Industrial / Metal Polymer AM,DE,EN/DE,Web,https://www.eos.info/press-media/press-center,1d,A,True,False,WEB,"Industrial AM; produkty, materiály, aplikace."
SRC021,Nikon SLM Solutions,P1,Industrial / Metal LPBF,DE,EN,Web,https://nikon-slm-solutions.com/newsroom/,1d,A,True,False,WEB,"Metal LPBF, multi-laser, aerospace."
SRC022,Stratasys,P1,Industrial / Polymer AM,US/IL,EN,Web,https://investors.stratasys.com/news-events/press-releases,1d,B,True,False,WEB,Filtrovat finanční IR zprávy; ponechat technologické novinky.
SRC023,3D Systems,P1,Industrial / Polymer Metal,US,EN,Web,https://www.3dsystems.com/press-releases,1d,B,True,False,WEB,Technologické a produktové release.
SRC024,Materialise,P1,Industrial SW / Medical AM,BE,EN,Web,https://www.materialise.com/en/news,1d,A,True,False,WEB,"SW, medical, manufacturing, Magics."
SRC025,Renishaw Additive Manufacturing,P1,Industrial / Metal AM,UK,EN,Web,https://www.renishaw.com/en/additive-manufacturing--15239,3d,B,True,False,WEB,Nižší frekvence; metal AM a metrologie.
SRC026,BLT - Bright Laser Technologies,P1,Industrial / Metal LPBF,CN,EN/CN,Web,https://www.xa-blt.com/en/,1d,A,True,True,WEB,"Čínský metal AM; preferovat EN, CN překládat."
SRC027,Farsoon Technologies,P1,Industrial / SLS Metal,CN,EN/CN,Web,https://www.farsoon.com/,1d,A,True,True,WEB,Čínský industrial AM; high-value primary source.
SRC028,Eplus3D,P1,Industrial / Metal AM,CN,EN/CN,Web,https://www.eplus3d.com/,1d,B,True,True,WEB,Large-format metal AM.
SRC029,Nanjixiong 南极熊,S1,China AM Intelligence,CN,ZH,Web/Bridge,https://www.nanjixiong.com/,1d,A+,True,True,BRIDGE,Primární čínský mediální radar; řešit scraper/RSS bridge.
SRC030,3D Science Valley 3D科学谷,S1,China Research / Industrial,CN,ZH,Web/Bridge,https://www.3dsciencevalley.com/,1d,A+,True,True,BRIDGE,"Technologické analýzy; vhodný překlad ZH→CZ. POZOR: ověřit, zda je aktuální doména 3dsciencevalley.com dosažitelná, nebo je spolehlivější en.51shape.com (anglická verze, ověřena funkční 18.8.2026) – zkontrolovat ručně před nasazením bridge adaptéru."
SRC031,3D상상포털 / 3DBank,GOV,Korea AM Ecosystem,KR,KO,Web,https://www.3dbank.or.kr/,1d,B,True,True,WEB,"Korejský národní portál; KO→CZ. Ověřeno 19.8.2026 – provozuje 3D융합산업협회 s podporou MSIT/NIPA, aktivní sekce novinek a týdenní tech. přehledy."
SRC032,3D Printing Times Korea,S1,Korea AI / AM / Robotics,KR,KO,Web,https://wow3dprinting.co.kr/,1d,B,True,True,WEB,"Korejské trendy AI + 3D printing. Ověřeno 19.8.2026 jako reálné aktivní médium (3D프린팅타임즈, Soul, reg. A03616, zal. 2015)."
SRC033,OrcaSlicer Releases,P1,OSS / Slicer,Global,EN,Atom,https://github.com/OrcaSlicer/OrcaSlicer/releases.atom,1d,A+,True,False,READY,Přímý release feed.
SRC034,PrusaSlicer Releases,P1,OSS / Slicer,CZ/Global,EN,Atom,https://github.com/prusa3d/PrusaSlicer/releases.atom,1d,A+,True,False,READY,Přímý release feed.
SRC035,Klipper,P1,OSS / Firmware,Global,EN,GitHub File/API,https://github.com/Klipper3d/klipper/blob/master/docs/Config_Changes.md,1d,A,True,False,CUSTOM,Sledovat Config_Changes.md a Releases.md; ne GitHub Releases.
SRC036,Marlin Releases,P1,OSS / Firmware,Global,EN,Atom,https://github.com/MarlinFirmware/Marlin/releases.atom,1d,B,True,False,READY,Firmware release feed.
SRC037,FreeCAD Releases,P1,OSS / CAD,Global,EN,Atom,https://github.com/FreeCAD/FreeCAD/releases.atom,1d,B,True,False,READY,Filtrovat weekly/dev buildy a malé opravy.
SRC038,OpenSCAD Releases,P1,OSS / Parametric CAD,Global,EN,Atom,https://github.com/openscad/openscad/releases.atom,3d,B,True,False,READY,Parametrické CAD; nižší frekvence.
SRC039,NIST Additive Manufacturing,P2,Research / Metrology / AI,US,EN,Web/Search,https://www.nist.gov/topics/additive-manufacturing,1d,A,True,False,QUERY,Používat keyword/search filtr pro nové publikace a news.
SRC040,ORNL Manufacturing,P2,Research / Large-scale AM / AI,US,EN,Web/RSS,https://www.ornl.gov/section/manufacturing-science,1d,A+,True,False,QUERY,"High-value research; large format, robotics, materials, AI."
SRC041,Fraunhofer ILT,P2,Research / Laser / Metal AM,DE,EN/DE,Web,https://www.ilt.fraunhofer.de/en.html,1d,A,True,True,QUERY,Laser processing a metal AM; DE→CZ dle potřeby.
SRC042,Fraunhofer IAPT,P2,Research / Industrial AM,DE,EN/DE,Web,https://www.iapt.fraunhofer.de/en.html,1d,A,True,True,QUERY,"Industrial AM research, automation, design."
SRC043,arXiv AM + AI Query,P2,Research / AI ML 3D AM,Global,EN,API/Query,https://export.arxiv.org/api/query,1d,A+,True,False,CUSTOM,Použít sadu cílených dotazů (každá fráze prefixovaná all:); nedělat globální ingest.
SRC044,Additive Manufacturing (Elsevier),P2,Academic Journal / AM,Global,EN,API/Alert/Web,https://www.sciencedirect.com/journal/additive-manufacturing,1d,A,True,False,QUERY,Metadata/alert ingest dle možností workflow; fulltext může být omezen.
SRC045,Nature Portfolio Search,P2,Research / Materials AI AM,Global,EN,RSS/Search,https://www.nature.com/search?q=%22additive%20manufacturing%22,1d,B,True,False,QUERY,"Pouze cílený search/RSS, ne celý Nature feed. POZOR: aktuální URL je HTML search stránka, ne strojově čitelný feed – dokud se nenajde platný Nature RSS/Atom endpoint, zůstává QUERY (skript ho záměrně nezkouší parsovat jako RSS)."
SRC046,Autodesk Research,P2,AI / CAD / Generative Design,US,EN,Web,https://www.autodesk.com/research,3d,B,True,False,WEB,"AI-assisted design, geometry, generative design."
SRC047,Siemens Digital Industries Software,P1,Industrial SW / NX / Digital Twin,DE/US,EN,Web,https://blogs.sw.siemens.com/,1d,B,True,False,QUERY,"Filtrovat NX, additive manufacturing, digital twin."
SRC048,GitHub Discovery Radar,DISCOVERY,OSS / AI / 3D / CAD,Global,EN,GitHub API/Search,https://api.github.com/search/repositories,1d,A+,True,False,CUSTOM,"Discovery dotazy pro nové/rostoucí repozitáře. V1: filtr min. hvězd a vyřazení forků kvůli SEO-spam repozitářům nalezeným při testu 19.8.2026 (např. ""Cura Ultimate Optimizer 2026"" typu repos)."
